stock_id,roe,roa,eps,net_profit_margin,gross_margin,operating_margin,debt_ratio,pe,pb,dividend_yield,dividend_years,revenue_growth,eps_growth,price
2330,,,17.44,,,,,24.68,7.83,,20,,,1510.0
2317,,,4.15,,,,,16.53,1.92,,5,,,225.5
2454,,,15.84,,,,,20.82,5.26,,7,,,1385.0
2308,,,7.16,,,,,49.71,10.32,,5,,,956.0
2881,,,2.74,,,,,12.29,1.57,,6,,,97.0
2882,,,1.95,,,,,14.75,1.36,,6,,,74.8
2303,,,1.2,,,,,15.61,1.74,,5,,,49.95
3711,,,2.51,,,,,29.73,3.31,,5,,,240.5
2891,,,1.28,,,,,13.53,2.04,,5,,,49.8
2412,,,1.22,,,,,26.57,2.71,,5,,,131.5
2886,,,0.68,,,,,17.89,1.57,,6,,,40.6
1301,,,-0.1,,,,,,0.87,,5,,,39.75
1303,,,0.41,,,,,,1.39,,5,,,57.5
2002,,,-0.16,,,,,,0.99,,5,,,18.85
3008,,,53.05,,,,,13.7,1.75,,10,,,2385.0
2880,,,0.59,,,,,17.87,1.98,,5,,,32.35
1326,,,0.3,,,,,,0.67,,5,,,32.05
2382,,,4.27,,,,,14.77,4.75,,5,,,263.0
2357,,,14.21,,,,,11.76,1.59,,5,,,551.0
2884,,,0.58,,,,,17.6,2.12,,6,,,34.15
3034,,,6.0,,,,,13.02,3.57,,5,,,373.5
2890,,,0.58,,,,,15.65,1.75,,6,,,28.95
5871,,,2.65,,,,,10.8,1.2,,6,,,111.5
2912,,,2.85,,,,,20.78,5.88,,5,,,223.0
2892,,,0.54,,,,,16.12,1.5,,5,,,29.5
1216,,,1.05,,,,,23.13,3.58,,5,,,80.5
2327,,,-12.29,,,,,22.44,2.93,,5,,,224.0
3231,,,2.37,,,,,18.98,2.89,,6,,,146.5
2379,,,6.68,,,,,16.07,5.25,,5,,,485.5
2395,,,3.2,,,,,24.3,4.79,,5,,,284.5
5880,,,0.38,,,,,19.6,1.43,,5,,,24.5
2408,,,0.5,,,,,,3.72,,3,,,189.0
4938,,,1.7,,,,,14.31,0.96,,5,,,68.7
1101,,,-1.35,,,,,,0.78,,5,,,22.8
2801,,,0.42,,,,,13.62,1.15,,5,,,20.7
2883,,,0.8,,,,,13.77,1.03,,4,,,17.35
3045,,,1.19,,,,,24.08,4.1,,5,,,111.5
6505,,,0.9,,,,,76.09,1.51,,5,,,48.7
9910,,,1.76,,,,,21.1,4.69,,5,,,111.0
2887,,,0.59,,,,,20.81,1.15,,6,,,20.6
2353,,,0.37,,,,,18.26,1.03,,5,,,25.2
2207,,,10.03,,,,,17.1,3.95,,5,,,561.0
4904,,,0.96,,,,,23.32,3.61,,5,,,88.6
9904,,,1.28,,,,,7.99,0.66,,5,,,30.3
2301,,,2.05,,,,,25.79,4.41,,10,,,162.5
2885,,,0.78,,,,,15.04,1.62,,5,,,40.0
3037,,,1.44,,,,,105.5,3.66,,6,,,220.5
2609,,,1.73,,,,,7.16,0.61,,4,,,56.1
5876,,,0.95,,,,,12.85,1.0,,6,,,40.6
6446,,,3.36,,,,,33.91,5.48,,2,,,489.0
2603,,,10.04,,,,,4.56,0.76,,5,,,191.0
2618,,,1.09,,,,,7.56,1.49,,5,,,36.45
3017,,,13.67,,,,,39.88,16.29,,6,,,1520.0
2615,,,4.14,,,,,6.54,0.87,,5,,,79.8
1402,,,0.42,,,,,17.53,0.66,,5,,,27.7
2105,,,0.5,,,,,18.73,1.17,,5,,,29.6
2474,,,4.54,,,,,15.33,0.9,,7,,,209.5
1102,,,1.14,,,,,10.96,0.75,,5,,,36.7
3044,,,5.62,,,,,17.01,3.42,,5,,,323.0
2377,,,2.01,,,,,17.75,1.56,,5,,,96.2
2324,,,0.45,,,,,19.87,1.03,,5,,,30.0
1590,,,10.5,,,,,23.85,3.92,,6,,,939.0
2344,,,0.65,,,,,,3.63,,4,,,76.5
6415,,,1.75,,,,,29.05,2.13,,5,,,192.0
2542,,,0.71,,,,,15.34,1.6,,5,,,40.05
4958,,,2.49,,,,,18.82,1.33,,5,,,144.5
1504,,,0.75,,,,,37.61,2.31,,5,,,86.5
2498,,,3.88,,,,,7.14,1.54,,0,,,49.3
2637,,,2.06,,,,,16.7,1.15,,5,,,69.3
3443,,,6.47,,,,,81.98,24.21,,5,,,2115.0
2227,,,0.83,,,,,32.34,0.98,,5,,,55.3
8046,,,1.12,,,,,172.38,3.59,,5,,,246.5
2409,,,-0.17,,,,,15.41,0.58,,5,,,11.4
3533,,,20.7,,,,,17.5,4.2,,6,,,1290.0
2812,,,0.37,,,,,14.38,1.42,,7,,,21.0
9945,,,0.96,,,,,9.24,0.89,,4,,,30.6
2049,,,1.26,,,,,49.37,1.87,,5,,,194.5
6278,,,2.38,,,,,9.98,1.27,,5,,,92.9
1477,,,3.48,,,,,19.57,5.59,,8,,,294.5
2352,,,0.15,,,,,29.38,1.36,,5,,,23.8
2401,,,-0.14,,,,,,1.44,,3,,,20.05
8454,,,1.82,,,,,17.28,6.26,,5,,,207.5
2449,,,1.88,,,,,25.25,5.79,,5,,,223.0
3702,,,1.89,,,,,10.81,1.28,,5,,,57.2
2383,,,11.2,,,,,43.24,13.21,,5,,,1640.0
1605,,,0.23,,,,,92.92,0.95,,5,,,33.45
3406,,,12.54,,,,,14.34,2.01,,5,,,430.5
2345,,,14.0,,,,,30.16,13.69,,5,,,1215.0
6239,,,2.08,,,,,24.89,2.38,,5,,,175.0
4966,,,10.31,,,,,15.75,2.06,,10,,,565.0
2356,,,0.76,,,,,16.93,2.17,,5,,,42.5
6531,,,4.35,,,,,67.43,5.87,,5,,,412.0
2376,,,4.57,,,,,12.93,2.82,,5,,,233.5
8464,,,5.83,,,,,16.34,3.93,,5,,,366.5
5269,,,21.21,,,,,17.84,2.66,,5,,,1160.0
3023,,,3.05,,,,,15.03,3.22,,5,,,197.0
1476,,,6.02,,,,,18.68,3.8,,5,,,384.0
3653,,,9.48,,,,,80.3,20.79,,5,,,2740.0
6669,,,82.92,,,,,18.01,7.4,,5,,,4300.0
2404,,,16.11,,,,,21.13,11.33,,5,,,941.0
50,,,,,,,,,,,5,,,
56,,,,,,,,,,,5,,,
878,,,,,,,,,,,5,,,
713,,,,,,,,,,,5,,,
692,,,,,,,,,,,5,,,
881,,,,,,,,,,,5,,,
900,,,,,,,,,,,4,,,
51,,,,,,,,,,,5,,,
6208,,,,,,,,,,,5,,,44.9
919,,,,,,,,,,,3,,,
2312,,,0.3,,,,,22.65,1.55,,5,,,22.65
2388,,,0.04,,,,,1332.5,1.47,,5,,,53.3
3481,,,0.0,,,,,11.64,0.5,,3,,,13.5
2337,,,-0.46,,,,,,1.71,,4,,,39.2
6488,,,4.12,,,,,33.48,2.08,,10,,,391.0
3035,,,0.58,,,,,56.51,3.39,,6,,,165.0
6409,,,7.32,,,,,20.75,9.63,,5,,,938.0
2347,,,1.54,,,,,11.12,1.29,,5,,,57.6
3529,,,6.52,,,,,68.54,38.96,,5,,,1710.0
3661,,,16.4,,,,,43.77,6.87,,5,,,3215.0
