stock_id,name,industry,roe,roa,eps,net_profit_margin,gross_margin,operating_margin,debt_ratio,pe,pb,dividend_yield,dividend_years,revenue_growth,eps_growth,price
2330,,,35.89,24.57,17.44,45.64,59.45,50.58,31.53,24.68,7.83,1.13,11,,20.69,1510.0
2317,,,14.5,5.4,4.15,3.21,6.35,3.43,62.78,16.53,1.92,2.57,11,,24.25,225.5
2454,,,23.76,14.8,15.84,17.91,46.53,15.61,37.7,20.82,5.26,3.9,11,,6.02,1385.0
2308,,,28.51,14.17,7.16,13.92,34.87,16.5,50.3,49.71,10.32,0.73,11,,159.42,956.0
2881,,,16.63,1.28,2.74,31.94,,,92.28,12.29,1.57,4.38,11,,26.85,97.0
2882,,,12.77,0.81,1.95,24.38,,,93.63,14.75,1.36,4.68,2,,282.35,74.8
2303,,,16.55,10.76,1.2,25.27,29.81,18.8,34.97,15.61,1.74,5.71,3,,76.47,49.95
3711,,,13.38,5.39,2.51,6.74,17.13,7.83,59.7,29.73,3.31,2.2,7,,15.67,240.5
2891,,,19.55,1.13,1.28,39.48,,,94.24,13.53,2.04,4.62,11,,85.51,49.8
2412,,,10.1,7.68,1.22,17.01,37.14,20.89,23.91,26.57,2.71,3.8,11,,5.17,131.5
2886,,,10.55,0.84,0.68,44.52,,,92.04,17.89,1.57,3.94,11,,83.78,40.6
1301,,,-0.83,-0.49,-0.1,-1.44,1.38,-6.44,40.36,0.0,0.87,1.26,11,,-300.0,39.75
1303,,,4.03,2.36,0.41,5.41,8.29,1.61,41.42,0.0,1.39,1.22,11,,925.0,57.5
2002,,,-3.57,-1.71,-0.16,-3.93,0.27,-4.1,52.05,0.0,0.99,1.75,11,,,18.85
3008,,,15.59,13.5,53.05,40.5,47.25,35.44,13.42,13.7,1.75,4.09,11,,-18.4,2385.0
2880,,,14.44,0.77,0.59,41.75,,,94.64,17.87,1.98,4.17,11,,55.26,32.35
1326,,,2.6,1.69,0.3,2.92,4.36,-0.31,35.23,0.0,0.67,1.56,11,,257.89,32.05
2382,,,29.52,6.32,4.27,3.36,6.85,3.71,78.58,14.77,4.75,4.94,11,,3.64,263.0
2357,,,16.34,7.89,14.21,5.8,14.33,4.91,51.75,11.76,1.59,6.17,11,,542.99,551.0
2884,,,14.5,0.88,0.58,38.36,,,93.94,17.6,2.12,3.81,11,,81.25,34.15
3034,,,22.99,15.54,6.0,14.87,36.29,15.7,32.41,13.02,3.57,7.5,11,,-23.95,373.5
2890,,,14.55,0.99,0.58,39.98,,,93.23,15.65,1.75,4.32,11,,93.33,28.95
5871,,,10.3,1.99,2.65,19.74,65.69,26.81,80.67,10.8,1.2,5.65,11,,6.85,111.5
2912,,,27.52,4.74,2.85,3.8,35.01,4.26,82.76,20.78,5.88,4.04,11,,31.34,223.0
2892,,,10.99,0.63,0.54,36.31,,,94.27,16.12,1.5,4.07,11,,63.64,29.5
1216,,,18.53,5.14,1.05,5.23,33.51,5.94,72.25,23.13,3.58,3.73,11,,90.91,80.5
2327,,,16.05,7.08,-12.29,19.33,36.19,22.86,55.89,22.44,2.93,2.23,11,,-273.83,224.0
3231,,,29.12,6.88,2.37,2.91,7.39,4.78,76.38,18.98,2.89,2.59,11,,28.11,146.5
2379,,,28.9,10.56,6.68,11.63,49.68,10.56,63.47,16.07,5.25,5.25,11,,0.75,485.5
2395,,,21.33,15.68,3.2,15.45,38.87,15.24,26.49,24.3,4.79,2.95,11,,4.58,284.5
5880,,,9.09,0.46,0.38,31.72,,,94.93,19.6,1.43,4.08,11,,72.73,24.5
2408,,,3.97,3.09,0.5,8.32,18.45,5.96,22.32,0.0,3.72,0.0,0,,198.04,189.0
4938,,,9.62,3.57,1.7,2.13,4.23,1.25,62.84,14.31,0.96,6.55,11,,20.57,68.7
1101,,,-16.8,-8.11,-1.35,-30.17,22.64,13.16,51.72,0.0,0.78,4.39,11,,-359.62,22.8
2801,,,19.68,1.25,0.42,,,,93.67,13.62,1.15,4.83,11,,27.27,20.7
2883,,,17.44,1.37,0.8,134.89,,,92.13,13.77,1.03,5.48,2,,207.69,17.35
3045,,,17.5,6.75,1.19,8.51,21.31,11.06,61.43,24.08,4.1,4.04,11,,4.39,111.5
6505,,,11.0,9.13,0.9,5.25,7.31,5.68,16.97,76.09,1.51,1.64,11,,542.86,48.7
9910,,,30.23,14.89,1.76,8.82,23.72,9.86,50.75,21.1,4.69,4.59,11,,10.0,111.0
2887,,,10.55,0.57,0.59,27.64,,,94.58,20.81,1.15,4.37,11,,168.18,20.6
2353,,,8.56,3.22,0.37,2.77,11.16,2.05,62.35,18.26,1.03,6.75,7,,-21.28,25.2
2207,,,22.31,4.99,10.03,9.02,,,69.23,17.1,3.95,3.57,11,,26.16,561.0
4904,,,15.48,7.65,0.96,13.15,31.0,15.85,50.59,23.32,3.61,4.02,11,,-4.95,88.6
9904,,,10.03,6.19,1.28,9.1,23.48,5.08,38.32,7.99,0.66,5.61,11,,68.42,30.3
2301,,,22.17,9.11,2.05,10.35,25.04,10.43,58.92,25.79,4.41,2.78,11,,54.14,162.5
2885,,,12.77,1.1,0.78,32.22,,,91.41,15.04,1.62,4.63,11,,14.71,40.0
