代號,名稱,產業,評分,ROE(%),PE,PB,殖利率(%),負債率(%)
6435,大中,半導體業,10.0,27.5,13.52,0.97,6.43,22.18
1595,川寶,電子零組件業,10.0,25.95,12.03,0.52,7.08,21.38
3713,新晶投控,綠能環保,9.85,28.26,10.94,1.46,6.64,23.09
6123,上奇,資訊服務業,9.84,24.85,9.24,0.81,5.55,25.03
6573,虹揚-KY,半導體業,9.68,23.96,11.05,0.87,5.12,34.69
1456,怡華,建材營造業,9.64,25.9,16.79,0.73,7.17,39.2
00916,國泰全球品牌50,其他,9.56,29.06,9.24,1.8,7.83,28.75
7708,全家餐飲,其他,9.56,29.48,16.16,1.08,7.88,39.79
1316,上曜,建材營造業,9.54,25.23,15.08,1.9,7.12,30.43
3294,英濟,電子零組件業,9.51,25.57,8.93,1.26,6.09,37.48
8150,南茂,半導體業,9.43,24.27,10.06,1.71,7.16,39.74
5706,鳳凰,觀光餐旅,9.42,28.6,18.57,0.65,7.48,37.45
6695,芯鼎,半導體業,9.41,26.28,7.53,0.69,5.21,37.07
2362,藍天,電腦及週邊設備業,9.4,29.92,14.36,2.96,5.41,26.7
2882,國泰金,金融保險業,9.4,28.46,14.97,1.38,7.67,47.07
2388,威盛,半導體業,9.4,26.3,14.54,2.73,6.97,24.02
2474,可成,其他電子業,9.4,24.99,13.17,2.13,7.18,26.61
6103,合邦,半導體業,9.31,23.05,18.16,0.74,5.69,28.0
3054,立萬利,食品工業,9.3,23.41,12.2,0.55,7.31,45.46
5531,鄉林,建材營造業,9.29,21.47,14.23,1.22,7.12,29.35
009813,貝萊德標普卓越50,其他,9.25,27.51,13.38,0.59,7.48,51.49
00983B,大華優利美公債20,其他,9.25,26.7,11.34,2.99,7.14,36.81
2881,富邦金,金融保險業,9.25,25.77,12.42,1.59,7.96,46.04
8114,振樺電,電腦及週邊設備業,9.25,26.72,10.14,0.62,6.33,50.06
6462,神盾,半導體業,9.25,29.08,11.53,1.68,7.34,41.53
6670,復盛應用,運動休閒,9.24,23.09,10.54,1.87,7.09,32.17
00736,國泰新興市場,其他,9.24,24.02,13.15,1.04,5.26,48.86
6838,台新藥,其他,9.23,25.8,8.2,0.91,6.03,41.03
8234,新漢,電腦及週邊設備業,9.23,24.86,11.14,2.44,5.47,34.48
3705,永信,生技醫療業,9.22,25.76,15.23,0.89,7.47,51.81
3147,大綜,資訊服務業,9.18,28.36,15.55,2.3,7.37,39.94
4538,大詠城,電機機械,9.15,27.17,8.62,2.59,7.49,25.16
6189,豐藝,電子通路業,9.15,27.15,15.84,2.68,6.92,30.36
3122,笙泉,半導體業,9.14,27.45,6.91,1.88,7.01,27.04
3088,艾訊,電腦及週邊設備業,9.1,25.32,11.74,3.8,7.26,25.44
0051,元大中型100,其他,9.1,28.77,13.78,1.05,5.71,52.94
00772B,中信高評級公司債,其他,9.1,27.81,14.89,4.02,5.03,26.13
8070,長華*,電子通路業,9.09,27.35,15.06,3.38,5.54,29.36
6222,立軒,光電業,9.07,26.82,8.18,2.57,5.52,28.71
